signal_group,hs_code,stat_date,unit_price_by_qty,unit_price_by_weight,value_mom,qty_mom,weight_mom,price_qty_mom,price_weight_mom,price_qty_rolling_3,price_qty_rolling_6,version_flag
SSD,85235,2024-01-01,,5823.43322655144,,,,,,,,unknown
SSD,852351,2024-01-01,,3185.5727999701376,,,,,,,,unknown
SSD,852351,2024-01-01,,3185.5727999701376,0.0,,0.0,,0.0,,,unknown
SSD,852351,2024-02-01,,3257.027269579576,-0.10881927691865845,,-0.128370493602869,,0.02243065034021785,,,unknown
SSD,852351,2024-02-01,,3257.027269579576,0.0,,0.0,,0.0,,,unknown
SSD,852351,2024-03-01,,3736.628965432678,0.5537031551627294,,0.354283123106623,,0.14725136026110386,,,unknown
SSD,852351,2024-04-01,,3695.2440314761297,-0.13949115043435822,,-0.12985387029671236,,-0.011075473197739938,,,unknown
SSD,852351,2024-05-01,,4414.442440839784,0.41870990299907485,,0.18757450611500226,,0.1946281228621205,,,unknown
SSD,852351,2024-06-01,,5072.971278179728,0.13552790818248783,,-0.011876410142529048,,0.1491759936085313,,,unknown
SSD,852351,2024-07-01,,6113.097041885266,0.006309351042485645,,-0.16491127168041053,,0.20503285090128753,,,unknown
SSD,852351,2024-08-01,,6592.566715611908,0.28713211046372367,,0.19352049610028166,,0.0784331854118212,,,unknown
SSD,852351,2024-09-01,,6158.582645506303,-0.0033016322358183636,,0.06693388122693089,,-0.06582930273240672,,,unknown
SSD,852351,2024-10-01,,5086.037725018237,-0.42853642353596944,,-0.3080260401454803,,-0.17415450635718321,,,unknown
SSD,852351,2024-11-01,,6063.193223803907,0.6161223840487227,,0.35566509430180937,,0.19212509847873105,,,unknown
SSD,852351,2024-12-01,,5823.43322655144,0.09201896116753683,,0.1369791166193779,,-0.03954351913298371,,,unknown
SSD,8542321030,2024-02-01,,15856.20387110857,,,,,,,,unknown
SSD,8542321030,2024-03-01,,14855.578147155076,-0.08111770867146317,,-0.019224644067663665,,-0.06310625999055952,,,unknown
SSD,8542321030,2024-04-01,,14448.344779948873,-0.24677320908344613,,-0.2255431590668825,,-0.027412825214358283,,,unknown
SSD,8542321030,2024-05-01,,16364.300517182493,0.1141590344721155,,-0.01628830069177445,,0.13260728245442666,,,unknown
SSD,8542321030,2024-06-01,,14906.335156454781,-0.011328000397646365,,0.08537246376154384,,-0.08909426707220702,,,unknown
SSD,8542321030,2024-07-01,,13980.298507384849,-0.20906888158565762,,-0.15667864097994688,,-0.06212369702883924,,,unknown
SSD,8542321030,2024-08-01,,12797.690419051867,-0.27629440693535934,,-0.20941827070253205,,-0.08459104701579079,,,unknown
SSD,8542321030,2024-09-01,,15422.429317898093,0.6155148563491382,,0.34057083827524215,,0.2050947329479691,,,unknown
SSD,8542321030,2024-10-01,,13510.54263066512,-0.29738817022279185,,-0.19796106056736618,,-0.12396793318509058,,,unknown
SSD,8542321030,2024-11-01,,10441.425916632039,0.08743230214512798,,0.40706840171050285,,-0.2271645779102205,,,unknown
SSD,8542321030,2024-12-01,,14530.818040172977,0.27992688826239465,,-0.08028152678332778,,0.3916507339315589,,,unknown
