signal_id,signal_group,hs_code,stat_date,signal_type,signal_score,signal_grade,price_qty_mom,price_weight_mom,qty_mom,weight_mom,value_mom,version_flag,is_unit_changed,is_code_rebucketed,is_preliminary,revision_size,is_fx_sensitive
SSD_85235_20240101,SSD,85235,2024-01-01,mixed,0.0,Neutral,,,,,,unknown,False,False,False,,True
SSD_852351_20240101,SSD,852351,2024-01-01,mixed,0.0,Neutral,,,,,,unknown,False,False,False,,True
SSD_852351_20240101,SSD,852351,2024-01-01,mixed,0.0,Neutral,,0.0,,0.0,0.0,unknown,False,False,False,,True
SSD_852351_20240201,SSD,852351,2024-02-01,price_up_qty_down,1.0,C,,0.02243065034021785,,-0.128370493602869,-0.10881927691865845,unknown,False,False,False,,True
SSD_852351_20240201,SSD,852351,2024-02-01,mixed,0.0,Neutral,,0.0,,0.0,0.0,unknown,False,False,False,,True
SSD_852351_20240301,SSD,852351,2024-03-01,price_up_qty_up,3.0,A,,0.14725136026110386,,0.354283123106623,0.5537031551627294,unknown,False,False,False,,True
SSD_852351_20240401,SSD,852351,2024-04-01,price_down_qty_down,-2.0,Negative,,-0.011075473197739938,,-0.12985387029671236,-0.13949115043435822,unknown,False,False,False,,True
SSD_852351_20240501,SSD,852351,2024-05-01,price_up_qty_up,3.0,A,,0.1946281228621205,,0.18757450611500226,0.41870990299907485,unknown,False,False,False,,True
SSD_852351_20240601,SSD,852351,2024-06-01,price_up_qty_soft,2.0,B,,0.1491759936085313,,-0.011876410142529048,0.13552790818248783,unknown,False,False,False,,True
SSD_852351_20240701,SSD,852351,2024-07-01,price_up_qty_down,1.0,C,,0.20503285090128753,,-0.16491127168041053,0.006309351042485645,unknown,False,False,False,,True
SSD_852351_20240801,SSD,852351,2024-08-01,mixed,0.0,Neutral,,0.0784331854118212,,0.19352049610028166,0.28713211046372367,unknown,False,False,False,,True
SSD_852351_20240901,SSD,852351,2024-09-01,price_down_qty_up,-1.0,Watch,,-0.06582930273240672,,0.06693388122693089,-0.0033016322358183636,unknown,False,False,False,,True
SSD_852351_20241001,SSD,852351,2024-10-01,price_down_qty_down,-2.0,Negative,,-0.17415450635718321,,-0.3080260401454803,-0.42853642353596944,unknown,False,False,False,,True
SSD_852351_20241101,SSD,852351,2024-11-01,price_up_qty_up,3.0,A,,0.19212509847873105,,0.35566509430180937,0.6161223840487227,unknown,False,False,False,,True
SSD_852351_20241201,SSD,852351,2024-12-01,price_down_qty_up,-1.0,Watch,,-0.03954351913298371,,0.1369791166193779,0.09201896116753683,unknown,False,False,False,,True
SSD_8542321030_20240201,SSD,8542321030,2024-02-01,mixed,0.0,Neutral,,,,,,unknown,False,False,False,,True
SSD_8542321030_20240301,SSD,8542321030,2024-03-01,price_down_qty_down,-2.0,Negative,,-0.06310625999055952,,-0.019224644067663665,-0.08111770867146317,unknown,False,False,False,,True
SSD_8542321030_20240401,SSD,8542321030,2024-04-01,price_down_qty_down,-2.0,Negative,,-0.027412825214358283,,-0.2255431590668825,-0.24677320908344613,unknown,False,False,False,,True
SSD_8542321030_20240501,SSD,8542321030,2024-05-01,price_up_qty_soft,2.0,B,,0.13260728245442666,,-0.01628830069177445,0.1141590344721155,unknown,False,False,False,,True
SSD_8542321030_20240601,SSD,8542321030,2024-06-01,price_down_qty_up,-1.0,Watch,,-0.08909426707220702,,0.08537246376154384,-0.011328000397646365,unknown,False,False,False,,True
SSD_8542321030_20240701,SSD,8542321030,2024-07-01,price_down_qty_down,-2.0,Negative,,-0.06212369702883924,,-0.15667864097994688,-0.20906888158565762,unknown,False,False,False,,True
SSD_8542321030_20240801,SSD,8542321030,2024-08-01,price_down_qty_down,-2.0,Negative,,-0.08459104701579079,,-0.20941827070253205,-0.27629440693535934,unknown,False,False,False,,True
SSD_8542321030_20240901,SSD,8542321030,2024-09-01,price_up_qty_up,3.0,A,,0.2050947329479691,,0.34057083827524215,0.6155148563491382,unknown,False,False,False,,True
SSD_8542321030_20241001,SSD,8542321030,2024-10-01,price_down_qty_down,-2.0,Negative,,-0.12396793318509058,,-0.19796106056736618,-0.29738817022279185,unknown,False,False,False,,True
SSD_8542321030_20241101,SSD,8542321030,2024-11-01,price_down_qty_up,-1.0,Watch,,-0.2271645779102205,,0.40706840171050285,0.08743230214512798,unknown,False,False,False,,True
SSD_8542321030_20241201,SSD,8542321030,2024-12-01,price_up_qty_down,1.0,C,,0.3916507339315589,,-0.08028152678332778,0.27992688826239465,unknown,False,False,False,,True
